Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
62,N,"Epigenetic regulation of trophic morphology through feeding behaviour in Arctic charr, Salvelinus alpinus",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,"Several models of speciation suggest that in species that are phenotypically plastic, selection can act on phenotypic variation that is environmentally induced in the earliest stages of divergence. One trait that could be subject to this process is foraging behaviour, where discrete foraging strategies are common. One species which is highly plastic in the expression of phenotype, the Arctic charr, Salvelinus alpinus (L.), is characterized by discrete variation in the anatomy of the head and mouthparts. These traits have been shown to have a functional significance, but the expression of which is thought to be at least partly phenotypically plastic. Here we test the hypothesis that foraging behaviour may regulate the anatomy of the head and mouthparts in Arctic charr. In a dyad experiment, size-matched pairs of fish from a mixed family group were fed a diet of either Mysis (a hard-bodied shrimp) or Chironomid larvae. Nine morphometric measures of head dimensions that describe wild trophic morphs were measured at the start of the experiment and 24 weeks later. Principal component scores of size-corrected morphometric measures showed highly significant differences between fish exposed to the two diets. Univariate ANOVA analysis of the head morphometric variables showed that fish fed on Chironomids developed longer, wider jaws, longer heads and a larger eye for a given body length than did those fish fed upon Mysis. We conclude that foraging anatomy in Arctic charr is phenotypically plastic and that variation in foraging behaviour that results in feeding specialization in the wild could induce variation in head anatomy. This in turn could reinforce foraging specialization. Very rapid epigenetic divergence into distinct feeding morphs (as demonstrated here) would allow selection to act at more than one mode and thus could promote rapid evolutionary divergence, initially prior to genetic segregation, in species which are highly plastic. (C) 2003 The Linnean Society of London, Biological Journal of the Linnean Society, 2003, 78, 43-49.",2003,78,43-49,10.1046/j.1095-8312.2003.00126.x
63,N,Epigenetic silencing may aid evolution by gene duplication,JOURNAL OF MOLECULAR EVOLUTION,"Gene duplication is commonly regarded as the main evolutionary path toward the gain of a new function. However, even with gene duplication, there is a loss-versus-gain dilemma: most newly born duplicates degrade to pseudogenes, since degenerative mutations are much more frequent than advantageous ones. Thus, something additional seems to be needed to shift the loss versus gain equilibrium toward functional divergence. We suggest that epigenetic silencing of duplicates might play this role in evolution. This study began when we noticed in a previous publication (Lynch M, Conery JS [2000] Science 291:1151-1155) that the frequency of functional young gene duplicates is higher in organisms that have cytosine methylation (H. sapiens, M. musculus, and A. thaliana) than in organisms that do not have methylated genomes (S. cerevisiae, D. melanogaster, and C. elegans). We find that genome data analysis confirms the likelihood of much more efficient functional divergence of gene duplicates in mammals and plants than in yeast, nematode, and fly. We have also extended the classic model of gene duplication, in which newly duplicated genes have exactly the same expression pattern, to the case when they are epigenetically silenced in a tissue- and/or developmental stage-complementary manner. This exposes each of the duplicates to negative selection, thus protecting from pseudogenization. Our analysis indicates that this kind of silencing (i) enhances evolution of duplicated genes to new functions, particularly in small populations, (ii) is quite consistent with the subfunctionalization model when degenerative but complementary mutations affect different subfunctions of the gene, and (iii) furthermore, may actually cooperate with the DDC (duplication-degeneration-complementation) process.",2003,56,718-729,10.1007/s00239-002-2446-6
64,N,EPIGENETIC VARIANTS OF SKULLS IN SOME ANCIENT AND RECENT ITALIAN POPULATIONS,JOURNAL OF HUMAN EVOLUTION,,1977,6,689-695,10.1016/S0047-2484(77)80095-X
65,N,EPIGENETIC VARIATION IN ASEXUALLY REPRODUCING ORGANISMS,EVOLUTION,"The role that epigenetic inheritance can play in adaptation may differ between sexuals and asexuals because (1) the dynamics of adaptation differ under sexual and asexual reproduction and the opportunities offered by epigenetic inheritance may affect these dynamics differently; and (2) in asexual reproduction epigenetic reprogramming mechanisms that are associated with meiosis can be bypassed, which could promote the buildup of epigenetic variation in asexuals. Here, we evaluate current evidence for an epigenetic contribution to adaptation in asexuals. We argue that two aspects of epigenetic variation should have particular relevance for asexuals, namely epigenetics-mediated phenotypic plasticity within and between generations, and heritable variation via stochastic epimutations. An evaluation of epigenetic reprogramming mechanisms suggests that some, but not all, forms of asexual reproduction enhance the likelihood of stable transmission of epigenetic marks across generations compared to sexual reproduction. However, direct tests of these predicted sexual-asexual differences are virtually lacking. Stable transmission of DNA methylation, transcriptomes, and phenotypes from parent to clonal offspring are demonstrated in various asexual species, and clonal genotypes from natural populations show habitat-specific DNA methylation. We discuss how these initial observations can be extended to demonstrate an epigenetic contribution to adaptation.",2014,68,644-655,10.1111/evo.12320
66,N,Evolution of DNA-methylation machinery: DNA methyltransferases and methyl-DNA binding proteins in the amphioxus Branchiostoma floridae,DEVELOPMENT GENES AND EVOLUTION,"DNA methylation is an epigenetic mark associated with gene regulation and cell memory, silencing of transposable elements, genomic imprinting, and repression of spurious transcription of duplicated sequences. These roles have varied widely during animal evolution and current functions depend on the specific methylation pattern of the species under consideration. The patterns of methylation are established, maintained, and translated into appropriate functional states by the DNA-methylation machinery, which includes three groups of methyltransferase enzymes, Dnmt1, Dnmt2 and Dnmt3, and five methyl-DNA binding proteins, Mbd1, Mbd2, Mbd3, Mbd4, and MeCP2. In this study, I have identified the members of the Dnmt and the Mbd gene families in the cephalochordate amphioxus (Branchiostoma floridae), the most basal extant chordate and one of the closest sister groups of vertebrates. Database searches, phylogenetic studies and protein domain analyses revealed the presence of the three major groups of Dnmt enzymes in the cephalochordate genome, whereas only two Mbd members, Mbd2/3 and Mbd4, were found. Analysis of the amphioxus methylation machinery suggested that the complexity and the structural organization of cephalochordate methyltransferases do not differ substantially from those of current vertebrate enzymes, while new Mbd proteins arose in vertebrates, which perhaps minimized certain collateral effects associated with the major genomic changes that occurred during the invertebrate-vertebrate transition.",2008,218,691-701,10.1007/s00427-008-0247-7
67,N,Evolution of the Fot1 transposons in the genus Fusarium: Discontinuous distribution and epigenetic inactivation,MOLECULAR BIOLOGY AND EVOLUTION,"To understand the evolution of Fot1, a member of the pogo family widely dispersed in ascomycetes, we have performed a phylogenetic survey across the genus Fusarium divided into six sections, The taxonomic distribution of Fot1 is not homogeneous but patchy; it is prevalent in the Fusarium oxysporum complex. absent in closely related sections, and found in five species from the most distant section Martiella. Multiple copies of Fot1 were sequenced from each strain in which the element occurs. In three species. the Fot1 nucleotide sequence is 98% identical to that from F. oxysporum (Fox), whereas nucleotide divergence for host genes is markedly higher: 11% for partial nuclear 28S rDNA and up to 30% for the gene encoding nitrate reductase (nia). In two species, sequence divergence of Fot1-related elements relative to Fox ranged from 7% to 23% (16% average). Most of the sequence differences (82%) were C-to-T and G-to-A transitions. These mutations are distributed throughout the Fot1 sequences, although they tend to be concentrated in the middle portion of the elements. Analysis of the local sequence context of transitions revealed a hierarchy of site preferences. These characteristics are typical of the repeat-induced point mutation process. first discovered in Neurospora crassa. The spotty distribution of Fot1 elements among species together with the high degree of similarity between Fot1 sequences present in distant species strongly suggests a case of horizontal transfer.",2002,19,510-520,10.1093/oxfordjournals.molbev.a004106
68,N,Evolutionary insights into DNA methylation in insects,CURRENT OPINION IN INSECT SCIENCE,"Epigenetic information affects gene function and plays a critical role in development. DNA methylation is one of the most widespread epigenetic marks and has been linked to developmental plasticity in insects. Here, we review the patterns and functions of DNA methylation in insects. We specifically focus on how the application of an evolutionary framework has led to important insights into the role of DNA methylation. We discuss the importance of evolutionary variation in DNA methylation among insect taxa and show how comparative analyses have revealed conservation in targets of DNA methylation. We then show how the distribution of DNA methylation in insect genomes has been linked to evolutionary conserved patterns of histone modifications and variants. We conclude by discussing how the evolutionary conservation and variability of DNA methylation in insects can provide insight into the function of DNA methylation across eukaryotic systems.",2014,1,25-30,10.1016/j.cois.2014.04.001
69,N,Experimental alteration of DNA methylation affects the phenotypic plasticity of ecologically relevant traits in Arabidopsis thaliana,EVOLUTIONARY ECOLOGY,"Heritable phenotypic variation in plants can be caused not only by underlying genetic differences, but also by variation in epigenetic modifications such as DNA methylation. However, we still know very little about how relevant such epigenetic variation is to the ecology and evolution of natural populations. We conducted a greenhouse experiment in which we treated a set of natural genotypes of Arabidopsis thaliana with the demethylating agent 5-azacytidine and examined the consequences of this treatment for plant traits and their phenotypic plasticity. Experimental demethylation strongly reduced the growth and fitness of plants and delayed their flowering, but the degree of this response varied significantly among genotypes. Differences in genotypes' responses to demethylation were only weakly related to their genetic relatedness, which is consistent with the idea that natural epigenetic variation is independent of genetic variation. Demethylation also altered patterns of phenotypic plasticity, as well as the amount of phenotypic variation observed among plant individuals and genotype means. We have demonstrated that epigenetic variation can have a dramatic impact on ecologically important plant traits and their variability, as well as on the fitness of plants and their ecological interactions. Epigenetic variation may thus be an overlooked factor in the evolutionary ecology of plant populations.",2010,24,541-553,10.1007/s10682-010-9372-7
70,N,Exploring epiallele stability in a population-epigenetic model,THEORETICAL POPULATION BIOLOGY,"Differences in transgenerational epigenetic stability can result in a diversity of phenotypes among genetically identical individuals. Here we present a model that encapsulates non-genomic phenotypic variation in a population over two distinct environments that each act as a stimulus for epigenetic modification. By allowing different levels of epigenetic resetting, thereby increasing epigenetic diversity, we explore the dynamics of multiple epiallelic states subject to selection in a population-epigenetic model. We find that both epigenetic resetting and the environmental frequency are crucial parameters in this system. Our results illustrate the regions of parameter space that enable up to three equilibria to be simultaneously locally stable. Furthermore, it is clear that both continued environmental induction and epigenetic resetting prevent epigenetic fixation, maintaining phenotypic variation through different epiallelic states. However, unless both environments are reasonably common, levels of epigenetically-maintained variation are low. We argue that it is vital that non-genomic phenotypic diversity is not ignored in evolutionary theory, but instead regarded as distinct epiallelic variants. Ultimately, a critical goal of future experiments should be to determine accurate rates of epigenetic resetting, especially over several generations, in order to establish the long-term significance of epigenetic inheritance. (C) 2012 Elsevier Inc. All rights reserved.",2013,83,136-144,10.1016/j.tpb.2012.09.001
71,N,Genes as cues: phenotypic integration of genetic and epigenetic information from a Darwinian perspective,TRENDS IN ECOLOGY & EVOLUTION,"The development of multicellular organisms involves a delicate interplay between genetic and environmental influences. It is often useful to think of developmental systems as integrating available sources of information about current conditions to produce organisms. Genes and inherited physiology provide cues, as does the state of the environment during development. The integration systems themselves are under genetic control and subject to Darwinian selection, so we expect them to evolve to produce organisms that fit well with current ecological (including social) conditions. We argue for the scientific value of this explicitly informational perspective by providing detailed examples of how it can elucidate taxonomically diverse phenomena. We also present a general framework for linking genetic and phenotypic variation from an informational perspective. This application of Darwinian logic at the organismal level can elucidate genetic influences on phenotypic variation in novel and counterintuitive ways.",2015,30,327-333,10.1016/j.tree.2015.04.002
72,N,Genetic and epigenetic alterations after hybridization and genome doubling,TAXON,"Hvbridization and polyploidization are now recognized as major phenomena in the evolution of plants, promoting,Q genetic diversity, adaptive radiation and speciation. Modern molecular techniques have recently provided evidence that allopolyploidy can induce several types of genetic and epigenetic events that are of critical importance for the evolutionary success of these plants: (1) chromosomal rearrangements within one or both parental genomes contribute toward proper meiotic pairing and isolation of the hybrid from its progenitors; (2) demethylation and activation of dormant transposable elements may trigger insertional mutagenesis and changes in local patterns of gene expression, facilitating rapid genomic reorganization; (3) rapid and reproducible loss of low copy DNA sequences appears to result in further differentiation of homoeologous chromosomes; and (4) organ-specific up- or down-regulation of one of the duplicated genes, may result in unequal expression or silencing one copy. All these alterations also have the potential, while stabilizing allopolyploid genomes, to produce novel expression patterns and new phenotypes, which together with increased heterozygosity and gene redundancy might confer on allopolyploids an elevated evolutionary potential, with effects at scales ranging from molecular to ecological. Although important advances have been rnade in understanding genomic responses to allopolyploidization, further insights are still expected to be gained in the near future, Such as the direction and nature of the diploidization process, functional relevance of gene expression alterations, molecular mechanisms that result in adaptation to different ecologies/habitats, and ecological and evolutionary implications of recurrent polyploidization.",2007,56,649-656,10.2307/25065849
73,N,Genetic and epigenetic changes in a genomic region containing MIR172 in Arabidopsis allopolyploids and their progenitors,HEREDITY,"Combination of divergent genomes in allopolyploids creates genome-wide gene expression changes including many miRNA targets in Arabidopsis allotetraploids relative to the parents Arabidopsis thaliana and Arabidopsis arenosa. Here we report expression and epigenetic changes in a chromosomal region containing the MIR172b locus in the allotetraploids. Although mature miRNA sequences are conserved, A. thaliana and A. arenosa miRNA loci diverge rapidly in sequence and expression. Among four MIR172 loci in Arabidopsis, the level of nucleotide sequence divergence between A. thaliana and A. arenosa MIR172 loci is 15-25%, which is higher than that of protein-coding genes (similar to 5%). MIR172b locus and its flanking genes in A. arenosa were expressed at low levels relative to that in A. thaliana, which is associated with hypermethylation of this region in the allotetraploids. Consistently with this notion, pri-miR172 transcripts in the allotetraploids were primarily derived from the A. thaliana MIR172b locus. Expression of homoeologous alleles in miR172 target loci is associated with allelic loss, allelic changes in outcrossing A. arenosa or repression of A. thaliana alleles. These data suggest that gene expression changes in this homoeologous region are associated with genetic diversity and epigenetic variation of miRNA genes and their targets in allopolyploids.",2014,112,207-214,10.1038/hdy.2013.94
74,N,Genetic and epigenetic reprogramming of the wheat genome upon allopolyploidization,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,"In the past few years we have analysed alterations in genome structure and expression that occur in wheat upon allopolyploidization. Our major findings in natural and synthetic allopolyploid wheat are reviewed here. It was found that allopolyploidization brings about rapid genome evolution through the instantaneous generation of a variety of cardinal genetic and epigenetic alterations comprising: (1) non-random elimination of coding and non-coding DNA sequences, (2) epigenetic changes such as DNA methylation of coding and non-coding DNA leading, among others, to gene silencing, and (3) activation of retroelements, which in turn alters the expression of adjacent genes. These changes were reproducible, occurring in the F1 hybrids or in the first generation(s) of a series of nascent allopolyploids corresponding to various interspecific and intergeneric combinations. Moreover, these changes were similar to those that occurred twice in nature: first, at the transition from diploid to tetraploid wheat (similar to0.5 Mya) and, second, at the transition from tetraploid to hexaploid wheat (similar to9500 years ago). Elimination of non-coding sequences augments the differentiation of homoeologous chromosomes at the polyploid level, thus increasing the physical divergence between homoeologues and contributing to the diploid-like meiotic behaviour of polyploid wheat. Transcriptional and post-transcriptional alterations of gene activity, including transcriptional activation of retroelements, led to novel expression patterns. These phenomena emphasize the plasticity of the genome with regard to both structure and gene expression. This plasticity in turn might improve the adaptability of the newly formed allopolyploids and facilitate their rapid and successful establishment in nature. (C) 2004 The Linnean Society of London.",2004,82,607-613,10.1111/j.1095-8312.2004.00346.x
75,Y,"Cribiu, P., A. Chaumot, O. Geffard, J.-L. Ravanat, T. Bastide, N. Delorme, H. Queau, S. Galliat, A. Devaux and S. Bony","Natural variability and modulation by environmental stressors of global genomic cytosine methylation levels in a freshwater crustacean, Gammarus fossarum",Aquatic Toxicology,2018,205,18-Nov,
76,N,GENETIC VARIATION AND THE EVOLUTION OF EPIGENETIC REGULATION,EVOLUTION,"Epigenetic variation has been observed in a range of organisms, leading to questions of the adaptive significance of this variation. In this study, we present a model to explore the ecological and genetic conditions that select for epigenetic regulation. We find that the rate of temporal environmental change is a key factor controlling the features of this evolution. When the environment fluctuates rapidly between states with different phenotypic optima, epigenetic regulation may evolve but we expect to observe low transgenerational inheritance of epigenetic states, whereas when this fluctuation occurs over longer time scales, regulation may evolve to generate epigenetic states that are inherited faithfully for many generations. In all cases, the underlying genetic variation at the epigenetically regulated locus is a crucial factor determining the range of conditions that allow for evolution of epigenetic mechanisms.",2014,68,673-683,10.1111/evo.12225
77,N,"GENETIC-VARIATION AT THE APCAB, CPCAB, GVPA1, AND NIFH LOCI AND IN DNA METHYLATION AMONG N-2-FIXING CYANOBACTERIA DESIGNATED NOSTOC-PUNCTIFORME",MICROBIAL ECOLOGY,"Genetic similarity among cyanobacteria of a morphological subgroup of Nostoc was evaluated through a comparison of several specific genes and the extent of DNA methylation. Four of six cyanobacteria were originally cultured from facultative symbioses with higher plants (Gunnera and Encephalartos); these and one free-living isolate had been identified or reputed to be N. punctiforme. No consistent correlation to species or symbiotic history was found from DNA hybridizations to genes coding for phycocyanin (cpcAB), allophycocyanin (apcAB), gas vesicle protein (gvpA1), and dinitrogenase reductase (nifH). One gene (gvpC) was not present, and gvpA1 was a single-copy gene in all strains. The gas vesicle genes were concluded to be potentially useful for broadly characterizing Nostoc or at least this subgroup. Incubations of Nostoc genomic DNA with 22 restriction endonucleases indicated a high degree of methylation and similarity of its methylated DNA to that of other heterocystous cyanobacteria. The genetic variation of the Nostoc isolates was judged to reflect primarily different soil origins.",1991,21,199-209,10.1007/BF02539154
78,N,Genomic potential for arsenic efflux and methylation varies among global Prochlorococcus populations,ISME JOURNAL,"The globally significant picocyanobacterium Prochlorococcus is the main primary producer in oligotrophic subtropical gyres. When phosphate concentrations are very low in the marine environment, the mol: mol availability of phosphate relative to the chemically similar arsenate molecule is reduced, potentially resulting in increased cellular arsenic exposure. To mediate accidental arsenate uptake, some Prochlorococcus isolates contain genes encoding a full or partial efflux detoxification pathway, consisting of an arsenate reductase (arsC), an arsenite-specific efflux pump (acr3) and an arsenic-related repressive regulator (arsR). This efflux pathway was the only previously known arsenic detox pathway in Prochlorococcus. We have identified an additional putative arsenic mediation strategy in Prochlorococcus driven by the enzyme arsenite S-adenosylmethionine methyltransferase (ArsM) which can convert inorganic arsenic into more innocuous organic forms and appears to be a more widespread mode of detoxification. We used a phylogenetically informed approach to identify Prochlorococcus linked arsenic genes from both pathways in the Global Ocean Sampling survey. The putative arsenic methylation pathway is nearly ubiquitously present in global Prochlorococcus populations. In contrast, the complete efflux pathway is only maintained in populations which experience extremely low PO4:AsO4, such as regions in the tropical and subtropical Atlantic. Thus, environmental exposure to arsenic appears to select for maintenance of the efflux detoxification pathway in Prochlorococcus. The differential distribution of these two pathways has implications for global arsenic cycling, as their associated end products, arsenite or organoarsenicals, have differing biochemical activities and residence times.",2016,10,197-209,10.1038/ismej.2015.85
79,N,"GESTATION LENGTH, METABOLIC-RATE, AND BODY AND BRAIN WEIGHTS IN PRIMATES - EPIGENETIC EFFECTS",AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,,1989,80,213-218,10.1002/ajpa.1330800209
80,N,Horizontal gene transfer of epigenetic machinery and evolution of parasitism in the malaria parasite Plasmodium falciparum and other apicomplexans,BMC EVOLUTIONARY BIOLOGY,"Background: The acquisition of complex transcriptional regulatory abilities and epigenetic machinery facilitated the transition of the ancestor of apicomplexans from a free-living organism to an obligate parasite. The ability to control sophisticated gene expression patterns enabled these ancient organisms to evolve several differentiated forms, invade multiple hosts and evade host immunity. How these abilities were acquired remains an outstanding question in protistan biology. Results: In this work, we study SET domain bearing genes that are implicated in mediating immune evasion, invasion and cytoadhesion pathways of modern apicomplexans, including malaria parasites. We provide the first conclusive evidence of a horizontal gene transfer of a Histone H4 Lysine 20 (H4K20) modifier, Set8, from an animal host to the ancestor of apicomplexans. Set8 is known to contribute to the coordinated expression of genes involved in immune evasion in modern apicomplexans. We also show the likely transfer of a H3K36 methyltransferase (Ashr3 from plants), possibly derived from algal endosymbionts. These transfers appear to date to the transition from free-living organisms to parasitism and coincide with the proposed horizontal acquisition of cytoadhesion domains, the O-glycosyltransferase that modifies these domains, and the primary family of transcription factors found in apicomplexan parasites. Notably, phylogenetic support for these conclusions is robust and the genes clearly are dissimilar to SET sequences found in the closely related parasite Perkinsus marinus, and in ciliates, the nearest free-living organisms with complete genome sequences available. Conclusions: Animal and plant sources of epigenetic machinery provide new insights into the evolution of parasitism in apicomplexans. Along with the horizontal transfer of cytoadhesive domains, O-linked glycosylation and key transcription factors, the acquisition of SET domain methyltransferases marks a key transitional event in the evolution to parasitism in this important protozoan lineage.",2013,13,37,10.1186/1471-2148-13-37
81,N,"HOW SOME ALIEN SPECIES BECOME INVASIVE. SOME ECOLOGICAL, GENETIC AND EPIGENETIC BASIS FOR BIOINVASIONS",INTERCIENCIA,"Genetic, epigenetic and environmental factors determine that some exotic species invade and become established, whereas most apparently either fails to become established or persist as small, isolated populations. To understand invasions we analyze different kinds of mechanisms that would allow the introduced organisms to become invasive in their new environments: enemy release, allelopathy, Darwin's naturalization hypothesis, empty niches, propagule pressure, breakdown of biotic regulation, phenotypic plasticity, variation increase (by means of hybridization, genome and gene duplication, endosymbiosis, transposition, somatic mutations and mitotic recombinations, small regulatory RNAs), purge; adaptive mutations; and epigenetic changes. These processes are key to explain the success of some alien species in new environments.",2012,37,238-244,
82,N,HOW STABLE 'SHOULD' EPIGENETIC MODIFICATIONS BE? INSIGHTS FROM ADAPTIVE PLASTICITY AND BET HEDGING,EVOLUTION,"Although there is keen interest in the potential adaptive value of epigenetic variation, it is unclear what conditions favor the stability of these variants either within or across generations. Because epigenetic modifications can be environmentally sensitive, existing theory on adaptive phenotypic plasticity provides relevant insights. Our consideration of this theory suggests that stable maintenance of environmentally induced epigenetic states over an organism's lifetime is most likely to be favored when the organism accurately responds to a single environmental change that subsequently remains constant, or when the environmental change cues an irreversible developmental transition. Stable transmission of adaptive epigenetic states from parents to offspring may be selectively favored when environments vary across generations and the parental environment predicts the offspring environment. The adaptive value of stability beyond a single generation of parent-offspring transmission likely depends on the costs of epigenetic resetting. Epigenetic stability both within and across generations will also depend on the degree and predictability of environmental variation, dispersal patterns, and the (epi)genetic architecture underlying phenotypic responses to environment. We also discuss conditions that favor stability of random epigenetic variants within the context of bet hedging. We conclude by proposing research directions to clarify the adaptive significance of epigenetic stability.",2014,68,632-643,10.1111/evo.12324
83,N,Insect small non-coding RNA involved in epigenetic regulations,CURRENT OPINION IN INSECT SCIENCE,"Small regulatory RNAs can not only guide post-transcriptional repression of target genes, but some of them can also direct heterochromatin formation of specific genomic loci. Here we review the published literature on small RNA-guided epigenetic regulation in insects. The recent development of novel analytical technologies (deep sequencing and RNAi screens) has led to the identification of some of the factors involved in these processes, as well as their molecular mechanism and subcellular localization. Other findings uncovered an additional mode of epigenetic control, where maternally inherited small RNAs can affect phenotypes in a stable, transgenerational manner. The evolutive history of small RNA effector proteins in insects suggests that these two modes of regulation are variably conserved among species.",2014,1,9-Jan,10.1016/j.cois.2014.05.001
84,N,Insecticide resistance in the aphid Myzus persicae (Sulzer): chromosome location and epigenetic effects on esterase gene expression in clonal lineages,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,"Insecticide treatment of the aphid Myzus persicae (Sulzer) has led to the evolution of several insecticide resistance mechanisms, including the detoxification of insecticides by elevated esterases. This results from amplification of one of two closely related esterase genes (E4 or FE4) with up to 80 copies in the most resistant aphids. The amplified E4 genes are at a single site linked to a chromosomal translocation and resistance can be unstable. Individuals within a clone lose their elevated esterase and resistant phenotype, a good example of 'clonal variation'. This loss of esterase is accompanied by a loss of the corresponding mRNA but the amplified genes are retained with no detectable sequence differences. However, the expressed E4 genes contain 5-methylcytosine, which is lost at the same time as the genes are turned off. This is in direct contrast with vertebrate genes where DNA methylation causes gene silencing, but it does suggest that the resistant phenotype in M. persicae is under epigenetic control. One hypothesis is that 5-methylcytosine in E4 genes facilitates expression by preventing the production of incorrectly initiated transcripts. It is interesting that we have never detected silencing of amplified FE4 genes, possibly because they are at multiple loci and therefore less likely to be subject to synchronous control. (C) 2003 The Linnean Society of London.",2003,79,107-113,10.1046/j.1095-8312.2003.00178.x
85,N,Interpreting phenotypic antibiotic tolerance and persister cells as evolution via epigenetic inheritance,MOLECULAR ECOLOGY,"Epigenetic inheritance is the transmission of nongenetic material such as gene expression levels, RNA and other biomolecules from parents to offspring. There is a growing realization that such forms of inheritance can play an important role in evolution. Bacteria represent a prime example of epigenetic inheritance because a large array of cellular components is transmitted to offspring, in addition to genetic material. Interestingly, there is an extensive and growing empirical literature showing that many bacteria can form 'persister' cells that are phenotypically resistant or tolerant to antibiotics, but most of these results are not interpreted within the context of epigenetic inheritance. Instead, persister cells are usually viewed as a genetically encoded bet-hedging strategy that has evolved in response to a fluctuating environment. Here I show, using a relatively simple model, that many of these empirical findings can be more simply understood as arising from a combination of epigenetic inheritance and cellular noise. I therefore suggest that phenotypic drug tolerance in bacteria might represent one of the best-studied examples of evolution under epigenetic inheritance.",2016,25,1869-1882,10.1111/mec.13603
86,N,Kin conflict in insect societies: a new epigenetic perspective,TRENDS IN ECOLOGY & EVOLUTION,"The social hymenopterans (ants, wasps and bees) have all the enzymatic and genetic mechanisms necessary for the functional modification of DNA by methylation. Methylation appears to play a central role in shaping the developmental processes that give rise to the different castes. However, could DNA methylation have other roles in social insects? Theoretical arguments predict that male and female hymenopterans can be in conflict over the reproductive potential of their female offspring. An exciting prospect for future research is to examine the possibility that queens and males imprint the genomes of their gametes using DNA methylation to manipulate the reproductive potential of their progeny in ways that favour the inclusive fitness of the parent.",2012,27,367-373,10.1016/j.tree.2012.02.005
87,N,Landscape of Fluid Sets of Hairpin-Derived 21-/24-nt-Long Small RNAs at Seed Set Uncovers Special Epigenetic Features in Picea glauca,GENOME BIOLOGY AND EVOLUTION,"Conifers' exceptionally large genome (20-30 Gb) is scattered with 60% retrotransposon (RT) components and we have little knowledge on their origin and evolutionary implications. RTs may impede the expression of flanking genes and provide sources of the formation of novel small RNA (sRNAs) populations to constrain events of transposon (TE) proliferation/transposition. Here we show a declining expression of 24-nt-long sRNAs and low expression levels of their key processing gene, pgRTL2 (RNASE THREE LIKE 2) at seed set in Picea glauca. The sRNAs in 24-nt size class are significantly less enriched in type and read number than 21-nt sRNAs and have not been documented in other species. The architecture of MIR loci generating highly expressed 24-/21-nt sRNAs is featured by long terminal repeat-retrotransposons (LTR-RTs) in families of Ty3/Gypsy and Ty1/Copia elements. This implies that the production of sRNAs may be predominantly originated from TE fragments on chromosomes. Furthermore, a large proportion of highly expressed 24-nt sRNAs does not have predictable targets against unique genes in Picea, suggestive of their potential pathway in DNA methylation modifications on, for instance, TEs. Additionally, the classification of computationally predicted sRNAs suggests that 24-nt sRNA targets may bear particular functions inmetabolic processes while 21-nt sRNAs target genes involved inmany different biological processes. This study, therefore, directs our attention to a possible extrapolation that lacking of 24-nt sRNAs at the late conifer seed developmental phase may result in less constraints in TE activities, thus contributing to the massive expansion of genome size.",2017,9,82-92,10.1093/gbe/evw283
88,N,Listening to the environment: hearing differences from an epigenetic effect in solitarious and gregarious locusts,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Locusts display a striking form of phenotypic plasticity, developing into either a lone-living solitarious phase or a swarming gregarious phase depending on population density. The two phases differ extensively in appearance, behaviour and physiology. We found that solitarious and gregarious locusts have clear differences in their hearing, both in their tympanal and neuronal responses. We identified significant differences in the shape of the tympana that may be responsible for the variations in hearing between locust phases. We measured the nanometre mechanical responses of the ear's tympanal membrane to sound, finding that solitarious animals exhibit greater displacement. Finally, neural experiments signified that solitarious locusts have a relatively stronger response to high frequencies. The enhanced response to high-frequency sounds in the nocturnally flying solitarious locusts suggests greater investment in detecting the ultrasonic echolocation calls of bats, to which they are more vulnerable than diurnally active gregarious locusts. This study highlights the importance of epigenetic effects set forth during development and begins to identify how animals are equipped to match their immediate environmental needs.",2014,281,20141693,10.1098 spb.2014.1693
89,N,lolal Is an Evolutionarily New Epigenetic Regulator of dpp Transcription during Dorsal-Ventral Axis Formation,MOLECULAR BIOLOGY AND EVOLUTION,"Secreted ligands in the Dpp/BMP family drive dorsal-ventral (D/V) axis formation in all Bilaterian species. However, maternal factors regulating Dpp/BMP transcription in this process are largely unknown. We identified the BTB domain protein longitudinals lacking-like (lolal) as a modifier of decapentaplegic (dpp) mutations. We show that Lolal is evolutionarily related to the Trithorax group of chromatin regulators and that lolal interacts genetically with the epigenetic factor Trithorax-like during Dpp D/V signaling. Maternally driven Lolal(HA) is found in oocytes and translocates to zygotic nuclei prior to the point at which dpp transcription begins. lolal maternal and zygotic mutant embryos display significant reductions in dpp, pMad, and zerknullt expression, but they are never absent. The data suggest that lolal is required to maintain dpp transcription during D/V patterning. Phylogenetic data revealed that lolal is an evolutionarily new gene present only in insects and crustaceans. We conclude that Lolal is the first maternal protein identified with a role in dpp D/V transcriptional maintenance, that Lolal and the epigenetic protein Trithorax-like are essential for Dpp D/V signaling and that the architecture of the Dpp D/V pathway evolved in the arthropod lineage after the separation from vertebrates via the incorporation of new genes such as lolal.",2016,33,2621-2632,10.1093/molbev/msw132
