Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
303,Y,"Platt, Alexander; Gugger, Paul F.; Pellegrini, Matteo; Sork, Victoria L.",Genome-wide signature of local adaptation linked to variable CpG methylation in oak populations,MOLECULAR ECOLOGY,2015,24,3823-3830,10.1111/mec.13230
304,Y,"Polanowski, A. M., J. Robbins, D. Chandler and S. N. Jarman",Epigenetic estimation of age in humpback whales,MOLECULAR ECOLOGY RESOURCES,2014,14,976-987,10.1111/1755-0998.12247
308,Y,"Preite, V.; Snoek, L. B.; Oplaat, C.; Biere, A.; van der Putten, W. H.; Verhoeven, K. J. F.",The epigenetic footprint of poleward range-expanding plants in apomictic dandelions,MOLECULAR ECOLOGY,2015,24,4406-4418,10.1111/mec.13329
311,Y,"Qiu, T., L. L. Jiang and Y. F. Yang",Genetic and epigenetic diversity and structure of Phragmites australis from local habitats of the Songnen Prairie using amplified fragment length polymorphism markers,GENETICS AND MOLECULAR RESEARCH,2016,15,15038585,10.4238/gmr.15038585
314,N,"Raj, S., K. Braeutigam, E. T. Hamanishi, O. Wilkins, B. R. Thomas, W. Schroeder, S. D. Mansfield, A. L. Plant and M. M. Campbell",Clone history shapes Populus drought responses,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES,2011,108,12521-12526,10.1073/pnas.1103341108
331,Y,"Robertson, M., A. Schrey, A. Shayter, C. J. Moss and C. Richards",Genetic and epigenetic variation in Spartina alterniflora following the Deepwater Horizon oil spill,EVOLUTIONARY APPLICATIONS,2017,10,792-801,10.1111/eva.12482
332,Y,"Rodriguez-Casariego, J. A., M. C. Ladd, A. A. Shantz, C. Lopes, M. S. Cheema, B. Kim, S. B. Roberts, J. W. Fourqurean, J. Ausio, D. E. Burkepile and J. M. Eirin-Lopez",Coral epigenetic responses to nutrient stress: Histone H2A.X phosphorylation dynamics and DNA methylation in the staghorn coral Acropora cervicornis,ECOLOGY AND EVOLUTION,2018,8,12193-12207,10.1002/ece3.4678
335,Y,"Romano, A., B. De Giorgio, M. Parolini, C. Favero, C. D. Possenti, S. Iodice, M. Caprioli, D. Rubolini, R. Ambrosini, L. Gianfranceschi, N. Saino and V. Bollati",Methylation of the circadian Clock gene in the offspring of a free-living passerine bird increases with maternal and individual exposure to PM10,ENVIRONMENTAL POLLUTION,2017,220,29-37,10.1016/j.envpol.2016.08.060
342,Y,"Salmon, A., M. Ainouche and J. Wendel",Genetic and epigenetic consequences of recent hybridization and polyploidy in Spartina (Poaceae),MOLECULAR ECOLOGY,2005,14,1163-1175,10.1111/j.1365-294X.2005.02488.x
352,Y,"Schulz, B., R. L. Eckstein and W. Durka",Epigenetic variation reflects dynamic habitat conditions in a rare floodplain herb,MOLECULAR ECOLOGY,2014,23,3523-3537,10.1111/mec.12835
359,Y,"Sheldon, E. L., A. Schrey, S. C. Andrew, A. Ragsdale and S. C. Griffith",Epigenetic and genetic variation among three separate introductions of the house sparrow (Passer domesticus) into Australia,ROYAL SOCIETY OPEN SCIENCE,2018,5,172185,10.1098/rsos.172185
375,Y,"Somerville, V., Schwaiger, M., Hirsch, P. E., Walser, J. C., Bussmann, K., Weyrich, A.,  Adrian-Kalchhauser, I.",DNA Methylation Patterns in the Round Goby Hypothalamus Support an On-The-Spot Decision Scenario for Territorial Behavior,GENES,2019,10,219,10.3390/genes10030219
378,Y,"Spens, Amy E.; Douhovnikoff, Vladimir","Epigenetic variation within Phragmites australis among lineages, genotypes, and ramets",BIOLOGICAL INVASIONS,2016,18,2457-2462,10.1007/s10530-016-1223-1
382,Y,"Standage, Daniel S.; Berens, Ali J.; Glastad, Karl M.; Severin, Andrew J.; Brendel, Volker P.; Toth, Amy L.","Genome, transcriptome and methylome sequencing of a primitively eusocial wasp reveal a greatly reduced DNA methylation system in a social insect",MOLECULAR ECOLOGY,2016,25,1769-1784,10.1111/mec.13578
393,Y,"Tanabe, A., Shimizu, R., Osawa, Y., Suzuki, M., Ito, S., Goto, M.,  Sahara, H.",Age estimation by DNA methylation in the Antarctic minke whale,FISHERIES SCIENCE,2020,86,35-41,10.1007/s12562-019-01371-7
395,Y,"Thorson, J. L. M., Smithson, M., Sadler-Riggleman, I., Beck, D., Dybdahl, M., & Skinner, M. K.",Regional epigenetic variation in asexual snail populations among urban and rural lakes,ENVIRONMENTAL EPIGENETICS,2019,5,dvz020,10.1093/eep/dvz020
402,Y,"Vandegehuchte, M. B., F. Lemiere and C. R. Janssen",Quantitative DNA-methylation in Daphnia magna and effects of multigeneration Zn exposure,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,2009,150,343-348,10.1016/j.cbpc.2009.05.014
403,Y,"Vandegehuchte, M. B., T. Kyndt, B. Vanholme, A. Haegeman, G. Gheysen and C. R. Janssen",Occurrence of DNA methylation in Daphnia magna and influence of multigeneration Cd exposure,ENVIRONMENTAL INTERNATIONAL,2009,35,700-706,10.1016/j.envint.2009.01.002
404,Y,"Vanden Broeck, A., K. Cox, R. Brys, S. Castiglione, A. Cicatelli, F. Guarino, B. Heinze, M. Steenackers and K. Vander Mijnsbrugge","Variability in DNA Methylation and Generational Plasticity in the Lombardy Poplar, a Single Genotype Worldwide Distributed Since the Eighteenth Century",FRONTIERS IN PLANT SCIENCE,2018,9,1635,10.3389/fpls.2018.01635
409,Y,"Veluchamy, A., A. Rastogi, X. Lin, B. Lombard, O. Murik, Y. Thomas, F. Dingli, M. Rivarola, S. Ott, X. Liu, Y. Sun, P. D. Rabinowicz, J. McCarthy, A. E. Allen, D. Loew, C. Bowler and L. Tirichine",An integrative analysis of post-translational histone modifications in the marine diatom Phaeodactylum tricornutum,GENOME BIOLOGY,2015,16,102,10.1186/s13059-015-0671-8
412,Y,"Verhoeven, K. J. F., J. J. Jansen, P. J. van Dijk and A. Biere",Stress-induced DNA methylation changes and their heritability in asexual dandelions,NEW PHYTOLOGIST,2010,185,1108-1118,10.1111/j.1469-8137.2009.03121.x
413,N,"Verhulst, Eveline C.; Mateman, A. Christa; Zwier, Mathijs V.; Caro, Samuel P.; Verhoeven, Koen J. F.; Van Oers, Kees",Evidence from pyrosequencing indicates that natural variation in animal personality is associated with DRD4 DNA methylation,MOLECULAR ECOLOGY,2016,25,1801-1811,10.1111/mec.13519
421,Y,"Volkova, P. Y., S. A. Geras'kin, N. Horemans, E. S. Makarenko, E. Saenen, G. T. Duarte, R. Nauts, V. S. Bondarenko, G. Jacobs, S. Voorspoels and M. Kudin",Chronic radiation exposure as an ecological factor: Hypermethylation and genetic differentiation in irradiated Scots pine populations,ENVIRONMENTAL POLLUTION,2018,232,105-112,10.1016/j.envpol.2017.08.123
432,Y,"Wenzel, Marius A.; Piertney, Stuart B.",Fine-scale population epigenetic structure in relation to gastrointestinal parasite load in red grouse (Lagopus lagopus scotica),MOLECULAR ECOLOGY,2014,23,4256-4273,10.1111/mec.12833
434,Y,"Weyrich, Alexandra; Lenz, Dorina; Jeschek, Marie; Tzu Hung Chung; Ruebensam, Kathrin; Goeritz, Frank; Jewgenow, Katarina; Fickel, Joerns",Paternal intergenerational epigenetic response to heat exposure in male Wild guinea pigs,MOLECULAR ECOLOGY,2016,25,1729-1740,10.1111/mec.13494
438,Y,"Wilschut, Rutger A.; Oplaat, Carla; Snoek, L. Basten; Kirschner, Jan; Verhoeven, Koen J. F.",Natural epigenetic variation contributes to heritable flowering divergence in a widespread asexual dandelion lineage,MOLECULAR ECOLOGY,2016,25,1759-1768,10.1111/mec.13502
446,Y,"Zhang, X., Q. Li, L. Kong and H. Yu",Epigenetic variation of wild populations of the Pacific oyster Crassostrea gigas determined by methylation-sensitive amplified polymorphism analysis,FISHERIES SCIENCE,2018,84,61-70,10.1007/s12562-017-1154-5
447,Y,"Zhang, X., Q. Li, L. Kong and H. Yu",DNA methylation frequency and epigenetic variability of the Pacific oyster Crassostrea gigas in relation to the gametogenesis,FISHERIES SCIENCE,2018,84,789-797,10.1007/s12562-018-1214-5
448,N,"Zhang, Y.-Y., M. Fischer, V. Colot and O. Bossdorf",Epigenetic variation creates potential for evolution of plant phenotypic plasticity,NEW PHYTOLOGIST,2013,197,314-322,10.1111/nph.12010
450,N,"Zheng, X., L. Chen, H. Xia, H. Wei, Q. Lou, M. Li, T. Li and L. Luo",Transgenerational epimutations induced by multi-generation drought imposition mediate rice plant's adaptation to drought condition,SCIENTIFIC REPORTS,2017,7,39843,10.1038/srep39843
452,Y,"Zoldos, Vlatka; Birus, Ivan; Muratovic, Edina; Satovic, Zlatko; Vojta, Aleksandar; Robin, Odile; Pustahija, Fatima; Bogunic, Faruk; Bockor, Vedrana Vicic; Siljak-Yakovlev, Sonja",Epigenetic Differentiation of Natural Populations of Lilium bosniacum Associated with Contrasting Habitat Conditions,GENOME BIOLOGY AND EVOLUTION,2018,10,291-303,10.1093/gbe/evy010
458,Y,"Bicho, RC; Scott-Fordsmand, JJ; Amorim, MJB","Developing an epigenetics model species-From blastula to mature adult, life cycle methylation pro file of Enchytraeus crypticus (Oligochaete)",SCIENCE OF THE TOTAL ENVIRONMENT,2020,732,139079,10.1016/j.scitotenv.2020.139079
1000,Y,"Amarasinghe, Harindra E.; Clayton, Crisenthiya I.; Mallon, Eamonn B.",Methylation and worker reproduction in the bumble-bee (Bombus terrestris),PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,281,20132502,10.1098 spb.2013.2502
1001,Y,"Anastasiadi, Dafni; Piferrer, Francesc",A clockwork fish: Age prediction using DNA methylation-based biomarkers in the European seabass,MOLECULAR ECOLOGY RESOURCES,2020,20,387-397,10.1111/1755-0998.13111
1002,Y,"Anastasiadi, Dafni; Shao, Changwei; Chen, Songlin; Piferrer, Francesc",Footprints of global change in marine life: Inferring past environment based on DNA methylation and gene expression marks,MOLECULAR ECOLOGY,2021,30,747-760,10.1111/mec.15764
1003,Y,"Artemov, Artem V.; Mugue, Nikolai S.; Rastorguev, Sergey M.; Zhenilo, Svetlana; Mazur, Alexander M.; Tsygankova, Svetlana V.; Boulygina, Eugenia S.; Kaplun, Daria; Nedoluzhko, Artem V.; Medvedeva, Yulia A.; Prokhortchouk, Egor B.",Genome-Wide DNA Methylation Profiling Reveals Epigenetic Adaptation of Stickleback to Marine and Freshwater Conditions,MOLECULAR BIOLOGY AND EVOLUTION,2017,34,2203-2213,10.1093/molbev/msx156
1004,N,"Asselman, Jana; De Coninck, Dieter I. M.; Pfrender, Michael E.; De Schamphelaere, Karel A. C.",Gene Body Methylation Patterns in Daphnia Are Associated with Gene Family Size,GENOME BIOLOGY AND EVOLUTION,2016,8,1185-1196,10.1093/gbe/evw069
1005,N,"Athanasio, Camila Goncalves; Sommer, Ulf; Viant, Mark R.; Chipman, James Kevin; Mirbahai, Leda","Use of 5-azacytidine in a proof-of-concept study to evaluate the impact of pre-natal and post-natal exposures, as well as within generation persistent DNA methylation changes in Daphnia",ECOTOXICOLOGY,2018,27,556-568,10.1007/s10646-018-1927-3
1006,N,"Baerwald, Melinda R.; Meek, Mariah H.; Stephens, Molly R.; Nagarajan, Raman P.; Goodbla, Alisha M.; Tomalty, Katharine M. H.; Thorgaard, Gary H.; May, Bernie; Nichols, Krista M.",Migration-related phenotypic divergence is associated with epigenetic modifications in rainbow trout,MOLECULAR ECOLOGY,2016,25,1785-1800,10.1111/mec.13231
1007,Y,"Bain, Stevie A.; Marshall, Hollie; de la Filia, Andres G.; Laetsch, Dominik R.; Husnik, Filip; Ross, Laura",Sex-specific expression and DNA methylation in a species with extreme sexual dimorphism and paternal genome elimination,MOLECULAR ECOLOGY,2021,30,5687-5703,10.1111/mec.15842
1008,Y,"Barreto, Deiene Rodriguez; de Leaniz, Carlos Garcia; Verspoor, Eric; Sobolewska, Halina; Coulson, Mark; Consuegra, Sofia",DNA Methylation Changes in the Sperm of Captive-Reared Fish: A Route to Epigenetic Introgression in Wild Populations,MOLECULAR BIOLOGY AND EVOLUTION,2019,36,2205-2211,10.1093/molbev/msz135
1009,N,"Bebane, P. S. A.; Hunt, B. J.; Pegoraro, M.; Jones, A. R. C.; Marshall, H.; Rosato, E.; Mallon, E. B.",The effects of the neonicotinoid imiacloprid on gene expression and DNA methylation in the buff-tailed bumblebee Bombus terrestris,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,286,20190718,10.1098 spb.2019.0718
1010,N,"Belanger, F.C.; Hepburn, A. G.",The evolution of CpNpG in plants,JOURNAL OF MOLECULAR EVOLUTION,1990,30,26-35,10.1007/BF02102450
1011,Y,"Bentz, Alexandra B.; Sirman, Aubrey E.; Wada, Haruka; Navara, Kristen J.; Hood, Wendy R.",Relationship between maternal environment and DNA methylation patterns of estrogen receptor alpha in wild Eastern Bluebird (Sialia sialis) nestlings: a pilot study,ECOLOGY AND EVOLUTION,2016,6,4741-4752,10.1002/ece3.2162
1012,N,"Berbel-Filho, Waldir M.; Berry, Nikita; Rodriguez-Barreto, Deiene; Rodrigues Teixeira, Sofia; Garcia de Leaniz, Carlos; Consuegra, Sofia",Environmental enrichment induces intergenerational behavioural and epigenetic effects on fish,MOLECULAR ECOLOGY,2020,29,2288-2299,10.1111/mec.15481
1013,Y,"Berbel-Filho, Waldir M.; de Leaniz, Carlos Garcia; Moran, Paloma; Cable, Joanne; Lima, Sergio M. Q.; Consuegra, Sofia",Local parasite pressures and host genotype modulate epigenetic diversity in a mixed-mating fish,ECOLOGY AND EVOLUTION,2019,9,8736-8748,10.1002/ece3.5426
1014,N,"Berglund, Jonas; Quilez, Javier; Arndt, Peter F.; Webster, Matthew T.",Germ line Methylation Patterns Determine the Distribution of Recombination Events in the Dog Genome,GENOME BIOLOGY AND EVOLUTION,2015,7,522-530,10.1093/gbe/evu282
1015,N,"Bewick, Adam J.; Hofmeister, Brigitte T.; Powers, Rob A.; Mondo, Stephen J.; Grigoriev, Igor, V; James, Timothy Y.; Stajich, Jason E.; Schmitz, Robert J.",Diversity of cytosine methylation across the fungal tree of life,NATURE ECOLOGY & EVOLUTION,2019,3,479-490,10.1038/s41559-019-0810-9
1016,N,"Bewick, Adam J.; Vogel, Kevin J.; Moore, Allen J.; Schmitz, Robert J.",Evolution of DNA Methylation across Insects,MOLECULAR BIOLOGY AND EVOLUTION,2017,34,654-665,10.1093/molbev/msw264
1017,Y,"Bors, Eleanor K.; Baker, C. Scott; Wade, Paul R.; O'Neill, Kaimyn B.; Shelden, Kim E. W.; Thompson, Michael J.; Fei, Zhe; Jarman, Simon; Horvath, Steve",An epigenetic clock to estimate the age of living beluga whales,EVOLUTIONARY APPLICATIONS,2021,14,1263-1273,10.1111/eva.13195
1018,Y,"Brevik, Kristian; Bueno, Erika M.; McKay, Stephanie; Schoville, Sean D.; Chen, Yolanda H.","Insecticide exposure affects intergenerational patterns of DNA methylation in the Colorado potato beetle, Leptinotarsa decemlineata",EVOLUTIONARY APPLICATIONS,2021,14,746-757,10.1111/eva.13153
1019,N,"Caetano, Lisandra Cristina; Ramos, Ester Silveira",MHM assay: molecular sexing based on the sex-specific methylation pattern of the MHM region in chickens,CONSERVATION GENETICS,2008,9,985-987,10.1007/s10592-007-9423-y
1020,N,"Chang, Andrew Ying-Fei; Liao, Ben-Yang",DNA Methylation Rebalances Gene Dosage after Mammalian Gene Duplications,MOLECULAR BIOLOGY AND EVOLUTION,2012,29,133-144,10.1093/molbev/msr174
1021,Y,"Chano, Victor; Dominguez-Flores, Tania; Hidalgo-Galvez, Maria Dolores; Rodriguez-Calcerrada, Jesus; Perez-Ramos, Ignacio Manuel","Epigenetic responses of hare barley (Hordeum murinum subsp. leporinum) to climate change: an experimental, trait-based approach",HEREDITY,2021,126,748-762,10.1038/s41437-021-00415-y
1022,N,"Chen, Feng-Chi; Chuang, Trees-Juen; Lin, Hsuan-Yu; Hsu, Min-Kung","The evolution of the coding exome of the Arabidopsis species - the influences of DNA methylation, relative exon position, and exon length",BMC EVOLUTIONARY BIOLOGY,2014,14,145,10.1186/1471-2148-14-145
1023,N,"Chen, Hang; Lu, Qin; Chen, Xiaoming; Ling, Xiaofei; Liu, Pengfei; Liu, Ni; Wang, Weiwei; Zhang, Jinwen; Qi, Qian; Ding, Weifeng; Zhang, Xin; Feng, Ying; Zhang, Yurong; Chen, Ming-Shun; King-Jones, Kirst",Genome assembly and methylome analysis of the white wax scale insect provides insight into sexual differentiation of metamorphosis in hexapods,MOLECULAR ECOLOGY RESOURCES,2021,21,1983-1995,10.1111/1755-0998.13376
1024,N,"Choi, Jae Young; Purugganan, Michael D.",Evolutionary Epigenomics of Retrotransposon-Mediated Methylation Spreading in Rice,MOLECULAR BIOLOGY AND EVOLUTION,2018,35,365-382,10.1093/molbev/msx284
1025,N,"Chuang, Trees-Juen; Chen, Feng-Chi",DNA Methylation is Associated with an Increased Level of Conservation at Nondegenerate Nucleotides in Mammals,MOLECULAR BIOLOGY AND EVOLUTION,2014,31,387-396,10.1093/molbev/mst208
1026,N,"Chwedorzewska, Katarzyna J.; Bednarek, Piotr T.",Genetic and epigenetic studies on populations of Deschampsia antarctica Desv. from contrasting environments on King George Island,POLISH POLAR RESEARCH,2011,32,15-26,10.2478/v10183-011-0005-9
1027,Y,"Chwedorzewska, Katarzyna J.; Bednarek, Piotr T.",Genetic and epigenetic variation in a cosmopolitan grass Poa annua from Antarctic and Polish populations,POLISH POLAR RESEARCH,2012,33,63-80,10.2478/v10183-012-0004-5
1028,Y,"Clark, Melody S.; Thorne, Michael A. S.; King, Michelle; Hipperson, Helen; Hoffman, Joseph I.; Peck, Lloyd S.","Life in the intertidal: Cellular responses, methylation and epigenetics",FUNCTIONAL ECOLOGY,2018,32,1982-1994,10.1111/1365-2435.13077
1029,N,"Cook, Nicola; Pannebakker, Bart A.; Tauber, Eran; Shuker, David M.",DNA Methylation and Sex Allocation in the Parasitoid Wasp Nasonia vitripennis,American Naturalist,2015,186,513-518,10.1086/682950
1030,N,"Cooper, D.N.; Gerberhuber, S; Nardelli, D.; Schubiger, J.L.; Wahli, W.",The distribution of the dinucleotide CpG and cytosine methylation in the vitellogenin gene family,JOURNAL OF MOLECULAR EVOLUTION,1987,25,107-115,10.1007/BF02101752
1031,Y,"Crispo, Erika; Suman, Pamela D.; Chapman, Lauren J.","Quantifying genome-wide cytosine methylation in response to hypoxia in the gills, muscle, and brain of an African cichlid fish",ENVIRONMENTAL BIOLOGY OF FISHES,2020,103,223-232,10.1007/s10641-020-00948-x
1032,N,"Crotti, Marco; Adams, Colin E.; Elmer, Kathryn R.",Population genomic SNPs from epigenetic RADs: Gaining genetic and epigenetic data from a single established next-generation sequencing approach,METHODS IN ECOLOGY AND EVOLUTION,2020,11,839-849,10.1111/2041-210X.13395
1033,N,"Cunningham, Christopher B.; Ji, Lexiang; Wiberg, R. Axel W.; Shelton, Jennifer; McKinney, Elizabeth C.; Parker, Darren J.; Meagher, Richard B.; Benowitz, Kyle M.; Roy-Zokan, Eileen M.; Ritchie, Michael G.; Brown, Susan J.; Schmitz, Robert J.; Moore, Allen J.","The Genome and Methylome of a Beetle with Complex Social Behavior, Nicrophorus vespilloides (Coleoptera: Silphidae)",GENOME BIOLOGY AND EVOLUTION,2015,7,3383-3396,10.1093/gbe/evv194
1034,Y,"Dass, Shantala Arundhati Hari; Vyas, Ajai",Toxoplasma gondii infection reduces predator aversion in rats through epigenetic modulation in the host medial amygdala,MOLECULAR ECOLOGY,2014,23,6114-6122,10.1111/mec.12888
1035,Y,"De Kort, Hanne; Panis, Bart; Deforce, Dieter; Van Nieuwerburgh, Filip; Honnay, Ollivier",Ecological divergence of wild strawberry DNA methylation patterns at distinct spatial scales,MOLECULAR ECOLOGY,2020,29,4871-4881,10.1111/mec.15689
1036,N,"de Mendoza, Alex; Hatleberg, William L.; Pang, Kevin; Leininger, Sven; Bogdanovic, Ozren; Pflueger, Jahnvi; Buckberry, Sam; Technau, Ulrich; Hejnol, Andreas; Adamska, Maja; Degnan, Bernard M.; Degnan, Sandie M.; Lister, Ryan",Convergent evolution of a vertebrate-like methylome in a marine sponge,NATURE ECOLOGY & EVOLUTION,2019,3,1464-1473,10.1038/s41559-019-0983-2
1037,N,"de Mendoza, Alex; Poppe, Daniel; Buckberry, Sam; Pflueger, Jahnvi; Albertin, Caroline B.; Daish, Tasman; Bertrand, Stephanie; de la Calle-mustienes, Elisa; Gomez-Skarmeta, Jose Luis; Nery, Joseph R.; Ecker, Joseph R.; Baer, Boris; Ragsdale, Clifton W.; Grutzner, Frank; Escriva, Hector; Venkatesh, Byrappa; Bogdanovic, Ozren; Lister, Ryan",The emergence of the brain non-CpG methylation system in vertebrates,NATURE ECOLOGY & EVOLUTION,2021,5,369-378,10.1038/s41559-020-01371-2
1038,Y,"De Paoli-Iseppi, Ricardo; Deagle, Bruce E.; Polanowski, Andrea M.; McMahon, Clive R.; Dickinson, Joanne L.; Hindell, Mark A.; Jarman, Simon N.",Age estimation in a long-lived seabird (Ardenna tenuirostris) using DNA methylation-based biomarkers,MOLECULAR ECOLOGY RESOURCES,2019,19,411-425,10.1111/1755-0998.12981
1039,N,"Decato, Benjamin E.; Lopez-Tello, Jorge; Sferruzzi-Perri, Amanda N.; Smith, Andrew D.; Dean, Matthew D.",DNA Methylation Divergence and Tissue Specialization in the Developing Mouse Placenta,MOLECULAR BIOLOGY AND EVOLUTION,2017,34,1702-1712,10.1093/molbev/msx112
1040,N,"Dimond, James L.; Roberts, Steven B.",Germline DNA methylation in reef corals: patterns and potential roles in response to environmental change,MOLECULAR ECOLOGY,2016,25,1895-1904,10.1111/mec.13414
1041,N,"Dixon, Groves B.; Bay, Line K.; Matz, Mikhail V.",Evolutionary Consequences of DNA Methylation in a Basal Metazoan,MOLECULAR BIOLOGY AND EVOLUTION,2016,33,2285-2293,10.1093/molbev/msw100
1042,Y,"Dixon, Groves; Matz, Mikhail",Benchmarking DNA methylation assays in a reef-building coral,MOLECULAR ECOLOGY RESOURCES,2021,21,464-477,10.1111/1755-0998.13282
1043,N,"Dyson, Carl J.; Goodisman, Michael A. D.","Gene Duplication in the Honeybee: Patterns of DNA Methylation, Gene Expression, and Genomic Environment",MOLECULAR BIOLOGY AND EVOLUTION,2020,37,2322-2331,10.1093/molbev/msaa088
1044,N,"Elango, Navin; Yi, Soojin V.",DNA methylation and structural and functional bimodality of vertebrate promoters,MOLECULAR BIOLOGY AND EVOLUTION,2008,25,1602-1608,10.1093/molbev/msn110
1045,N,"Ellison, Amy; Rodriguez Lopez, Carlos Marcelino; Moran, Paloma; Breen, James; Swain, Martin; Megias, Manuel; Hegarty, Matthew; Wilkinson, Mike; Pawluk, Rebecca; Consuegra, Sofia",Epigenetic regulation of sex ratios may explain natural variation in self-fertilization rates,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,282,20151900,10.1098 spb.2015.1900
1046,N,"Gapper, Nigel E.; Rudell, David R.; Giovannoni, James J.; Watkins, Chris B.",Biomarker development for external CO2 injury prediction in apples through exploration of both transcriptome and DNA methylation changes,AOB PLANTS,2013,5,plt021,10.1093/aobpla/plt021
1047,N,"Gegner, Jasmin; Vogel, Heiko; Billion, Andre; Foerster, Frank; Vilcinskas, Andreas",Complete Metamorphosis in Manduca sexta Involves Specific Changes in DNA Methylation Patterns,FRONTIERS IN ECOLOGY AND EVOLUTION,2021,9,646281,10.3389/fevo.2021.646281
1048,Y,"Geng, Yupeng; Chang, Na; Zhao, Yuewan; Qin, Xiaoying; Lu, Shugang; Crabbe, M. James C.; Guan, Yabin; Zhang, Ticao",Increased epigenetic diversity and transient epigenetic memory in response to salinity stress inThlaspi arvense,ECOLOGY AND EVOLUTION,2020,10,11622-11630,10.1002/ece3.6795
1049,N,"Glastad, Karl M.; Arsenault, Samuel V.; Vertacnik, Kim L.; Geib, Scott M.; Kay, Sasha; Danforth, Bryan N.; Rehan, Sandra M.; Linnen, Catherine R.; Kocher, Sarah D.; Hunt, Brendan G.",Variation in DNA Methylation Is Not Consistently Reflectedby Sociality in Hymenoptera,GENOME BIOLOGY AND EVOLUTION,2017,9,1687-1698,10.1093/gbe/evx128
1050,N,"Glastad, Karl M.; Hunt, Brendan G.; Goodisman, Michael A. D.",DNA Methylation and Chromatin Organization in Insects: Insights from the Ant Camponotus floridanus,GENOME BIOLOGY AND EVOLUTION,2015,7,931-942,10.1093/gbe/evv039
1051,N,"Glastad, Karl M.; Hunt, Brendan G.; Yi, Soojin V.; Goodisman, Michael A. D.",Epigenetic inheritance and genome regulation: is DNA methylation linked to ploidy in haplodiploid insects?,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,281,20140411,10.1098 spb.2014.0411
1052,Y,"Gore, Aniket, V; Tomins, Kelly A.; Iben, James; Ma, Li; Castranova, Daniel; Davis, Andrew E.; Parkhurst, Amy; Jeffery, William R.; Weinstein, Brant M.",An epigenetic mechanism for cavefish eye degeneration,NATURE ECOLOGY & EVOLUTION,2018,2,1155-1160,10.1038/s41559-018-0569-4
1053,N,"Granot, Gila; Grafi, Gideon",Epigenetic information can reveal phylogenetic relationships within Zygophyllales,PLANT SYSTEMATICS AND EVOLUTION,2014,300,1819-1824,10.1007/s00606-014-1008-x
1054,Y,"Greco, Maria; Chiappetta, Adriana; Bruno, Leonardo; Bitonti, Maria Beatrice",Effects of light deficiency on genome methylation in Posidonia oceanica,MARINE ECOLOGY PROGRESS SERIES,2013,473,103-114,10.3354/meps09955
1055,Y,"Gugger, Paul F.; Fitz-Gibbon, Sorel; Pellegrini, Matteo; Sork, Victoria L.",Species-wide patterns of DNA methylation variation in Quercus lobata and their association with climate gradients,MOLECULAR ECOLOGY,2016,25,1665-1680,10.1111/mec.13563
1056,N,"Hancock, R. L.",On evolutionary significance of E coli yeast and rabbit liver sRNA methylation,EVOLUTION,1968,22,835-838,10.2307/2406908
1057,N,"Head, Jessica A.; Mittal, Krittika; Basu, Niladri",Application of the LUminometric Methylation Assay to ecological species: tissue quality requirements and a survey of DNA methylation levels in animals,MOLECULAR ECOLOGY RESOURCES,2014,14,943-952,10.1111/1755-0998.12244
1058,Y,"Heer, Katrin; Ullrich, Kristian K.; Hiss, Manuel; Liepelt, Sascha; Bruening, Ralf Schulze; Zhou, Jiabin; Opgenoorth, Lars; Rensing, Stefan A.",Detection of somatic epigenetic variation in Norway spruce via targeted bisulfite sequencing,ECOLOGY AND EVOLUTION,2018,8,9672-9682,10.1002/ece3.4374
1059,N,"Herden, Jasmin; Eckert, Silvia; Stift, Marc; Joshi, Jasmin; van Kleunen, Mark",No evidence for local adaptation and an epigenetic underpinning in native and non-native ruderal plant species in Germany,ECOLOGY AND EVOLUTION,2019,9,9412-9426,10.1002/ece3.5325
1060,Y,"Herrera, C. M.; Pozo, M. I.; Bazaga, P.","Jack of all nectars, master of most: DNA methylation and the epigenetic basis of niche width in a flower-living yeast",MOLECULAR ECOLOGY,2012,21,2602-2616,10.1111/j.1365-294X.2011.05402.x
1061,N,"Horvath, Robert; Laenen, Benjamin; Takuno, Shohei; Slotte, Tanja",Single-cell expression noise and gene-body methylation in Arabidopsis thaliana,HEREDITY,2019,123,81-91,10.1038/s41437-018-0181-z
1062,Y,"Hu, Juntao; Askary, Arash M.; Thurman, Timothy J.; Spiller, Dave A.; Palmer, Todd M.; Pringle, Robert M.; Barrett, Rowan D. H.",The Epigenetic Signature of Colonizing New Environments in Anolis Lizards,MOLECULAR BIOLOGY AND EVOLUTION,2019,36,2165-2170,10.1093/molbev/msz133
1063,N,"Hu, Yinan; Albertson, R. Craig",Baby fish working out: an epigenetic source of adaptive variation in the cichlid jaw,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,284,20171018,10.1098 spb.2017.1018
